"from","to","n","from_iso","to_iso","nd","PERC","NDX"
"Italy","Albania",72.861916810664,"ITA","ALB",0.211710304,2.09356468022154e-05,4.43229214893365e-06
"Jamaica","Albania",0,"JAM","ALB",0.361660893,0,0
"Japan","Albania",0,"JPN","ALB",0.28963038,0,0
"Jordan","Albania",0,"JOR","ALB",0.304453064,0,0
"Kazakhstan","Albania",0,"KAZ","ALB",0.28386346,0,0
"Kenya","Albania",0,"KEN","ALB",0.530444735,0,0
"Kiribati","Albania",0,"KIR","ALB",NA,0,NA
"Korea, Dem. Rep.","Albania",0,"PRK","ALB",0.418956817,0,0
"Korea, Rep.","Albania",0,"KOR","ALB",0.347391189,0,0
"Kosovo","Albania",0,"KOS","ALB",NA,0,NA
"Kuwait","Albania",0,"KWT","ALB",0.321234027,0,0
"Kyrgyz Republic","Albania",0,"KGZ","ALB",0.354819055,0,0
"Lao PDR","Albania",0,"LAO","ALB",0.4813817,0,0
"Latvia","Albania",0,"LVA","ALB",0.262947089,0,0
"Lebanon","Albania",0,"LBN","ALB",0.350353473,0,0
"Lesotho","Albania",0,"LSO","ALB",0.478677282,0,0
"Liberia","Albania",0,"LBR","ALB",0.574009116,0,0
"Libya","Albania",0,"LBY","ALB",0.365473417,0,0
"Liechtenstein","Albania",0,"LIE","ALB",NA,0,NA
"Lithuania","Albania",0,"LTU","ALB",0.257202643,0,0
"Luxembourg","Albania",0,"LUX","ALB",0.129131919,0,0
"Macao, China","Albania",0,"MAC","ALB",NA,0,NA
"Macedonia, FYR","Albania",6457.21553320168,"MKD","ALB",0.302812714,0.0144412141960361,0.00437298326415703
"Madagascar","Albania",0,"MDG","ALB",0.538860332,0,0
"Malawi","Albania",0,"MWI","ALB",0.491810578,0,0
"Malaysia","Albania",0,"MYS","ALB",0.309853932,0,0
"Maldives","Albania",0,"MDV","ALB",0.397870661,0,0
"Mali","Albania",0,"MLI","ALB",0.544416313,0,0
"Malta","Albania",0,"MLT","ALB",0.255508018,0,0
"Marshall Islands","Albania",0,"MHL","ALB",NA,0,NA
"Mauritania","Albania",0,"MRT","ALB",0.465284438,0,0
"Mauritius","Albania",0,"MUS","ALB",0.339225937,0,0
"Mayotte","Albania",0,"MYT","ALB",NA,0,NA
"Mexico","Albania",0,"MEX","ALB",0.289546763,0,0
"Micronesia, Fed. Sts.","Albania",0,"FSM","ALB",0.482598445,0,0
"Moldova","Albania",0,"MDA","ALB",0.322664458,0,0
"Monaco","Albania",0,"MCO","ALB",0.188172353,0,0
"Mongolia","Albania",0,"MNG","ALB",0.399306925,0,0
"Montenegro","Albania",0,"MNE","ALB",NA,0,NA
"Morocco","Albania",0,"MAR","ALB",0.364708027,0,0
"Mozambique","Albania",0,"MOZ","ALB",0.513186923,0,0
"Myanmar","Albania",0,"MMR","ALB",0.450518179,0,0
"Namibia","Albania",0,"NAM","ALB",0.427028075,0,0
"Nepal","Albania",0,"NPL","ALB",0.477594163,0,0
"Netherlands","Albania",0,"NLD","ALB",0.19057085,0,0
"Netherlands Antilles","Albania",0,"ANT","ALB",NA,0,NA
"New Caledonia","Albania",0,"NCL","ALB",NA,0,NA
"New Zealand","Albania",0,"NZL","ALB",0.25937051,0,0
"Nicaragua","Albania",0,"NIC","ALB",0.375611552,0,0
"Niger","Albania",0,"NER","ALB",0.529114441,0,0
"Nigeria","Albania",0,"NGA","ALB",0.502678199,0,0
"Northern Mariana Islands","Albania",0,"MNP","ALB",NA,0,NA
"Norway","Albania",0,"NOR","ALB",0.161815828,0,0
"Oman","Albania",0,"OMN","ALB",0.320837551,0,0
"Pakistan","Albania",0,"PAK","ALB",0.430075243,0,0
"Palau","Albania",0,"PLW","ALB",NA,0,NA
"Panama","Albania",0,"PAN","ALB",0.339105111,0,0
"Papua New Guinea","Albania",0,"PNG","ALB",0.5018407,0,0
"Paraguay","Albania",0,"PRY","ALB",0.344765468,0,0
"Peru","Albania",0,"PER","ALB",0.369894385,0,0
"Philippines","Albania",0,"PHL","ALB",0.381765514,0,0
"Poland","Albania",0,"POL","ALB",0.149939918,0,0
"Portugal","Albania",0,"PRT","ALB",0.254607569,0,0
"Puerto Rico","Albania",0,"PRI","ALB",NA,0,NA
"Qatar","Albania",0,"QAT","ALB",0.293961871,0,0
"Romania","Albania",0,"ROU","ALB",0.25070976,0,0
"Russian Federation","Albania",49.4911133053567,"RUS","ALB",0.289435913,4.48505146294043e-06,1.29813496502815e-06
"Rwanda","Albania",0,"RWA","ALB",0.520745874,0,0
"Samoa","Albania",0,"WSM","ALB",NA,0,NA
"San Marino","Albania",0,"SMR","ALB",NA,0,NA
"São Tomé and Principe","Albania",0,"STP","ALB",0.502075232,0,0
"Saudi Arabia","Albania",0,"SAU","ALB",0.341458032,0,0
"Senegal","Albania",0,"SEN","ALB",0.472086175,0,0
"Serbia","Albania",0,"SRB","ALB",0.334148658,0,0
"Seychelles","Albania",0,"SYC","ALB",0.372139737,0,0
"Sierra Leone","Albania",0,"SLE","ALB",0.589453921,0,0
"Singapore","Albania",0,"SGP","ALB",0.352335547,0,0
"Slovak Republic","Albania",0,"SVK","ALB",0.187754477,0,0
"Slovenia","Albania",0,"SVN","ALB",0.170795336,0,0
"Solomon Islands","Albania",0,"SLB","ALB",0.54393412,0,0
"Somalia","Albania",0,"SOM","ALB",0.619269074,0,0
"South Africa","Albania",0,"ZAF","ALB",0.365560843,0,0
