"from","to","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","from_iso","to_iso","avg","nd","TOTAL","PERC","NDX"
"Aruba","Cyprus","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,23.0328,0,NA,NA,"ABW","CYP",7.6776,0.226918286,10.7423702,0.714702608182317,0.162179090848461
"Aruba","Czech Republic","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,0,0.565046,0,"ABW","CZE",0.1130092,0.167790564,10.7423702,0.010519950243383,0.00176514838458917
"Aruba","Italy","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,0,0,0,0.719522,"ABW","ITA",0.1439044,0.211710304,10.7423702,0.0133959635835302,0.00283606352264211
"Aruba","Luxembourg","0","0.000000","0.000000","0.000000","0.000000","1.254483","0.000000",0,0,0,0,0,"ABW","LUX",0,0.129131919,10.7423702,0,0
"Aruba","Netherlands","2.68453973566232","12.234718","..","..","..","..","..",NA,NA,NA,NA,NA,"ABW","NLD",NA,0.19057085,10.7423702,NA,NA
"Aruba","Panama","0","0.000000","0.000000","0.000000","0.000000","-4.192000","1.589000",1.457,0.866483,0.963,0,5.353,"ABW","PAN",1.7278966,0.339105111,10.7423702,0.16084872964069,0.054544626319015
"Aruba","Romania","0","0.000000","0.000000","0.557511","0.000000","0.000000","0.000000",0,0,0,0,0,"ABW","ROU",0,0.25070976,10.7423702,0,0
"Aruba","United States","0","0.000000","0.000000","0.000000","-1.000000","1.000000","-1.000000",NA,NA,2,2,0,"ABW","USA",1.33333333333333,0.199021375,10.7423702,0.124119101139647,0.0247023541725767
"Azerbaijan","Belgium","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",0,26.394644,3.973273,549.103016,64.243075,"AZE","BEL",128.7428016,0.205225833,496.0945932,0.259512607806426,0.0532586911110761
"Azerbaijan","Bulgaria","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.958067",1.757791,0,0,0.781811,0.940005,"AZE","BGR",0.6959214,0.223077829,496.0945932,0.00140279980781697,0.000312933535649428
"Azerbaijan","Estonia","0","0.000000","0.000000","0.000000","0.000000","0.000000","-0.691177",0,0,0,0,0,"AZE","EST",0,0.252987409,496.0945932,0,0
"Azerbaijan","France","13.4226986783116","-3.764529","-7.900374","0.000000","7.461573","11.290349","-1.368667",2.929652,1.389192,3.973273,1.390134,1.284856,"AZE","FRA",2.1934214,0.150847644,496.0945932,0.00442137735437025,0.000666954357141705
"Azerbaijan","Germany","0","0.000000","0.000000","0.000000","2.487191","-5.017933","90.332011",95.213681,1.389192,0,0,0,"AZE","DEU",19.3205746,0.15008984,496.0945932,0.0389453440227496,0.00584530045311944
"Azerbaijan","Latvia","0","0.000000","0.000000","0.000000","0.000000","0.000000","3.308732",0,0,0,2.593604,0,"AZE","LVA",0.5187208,0.262947089,496.0945932,0.00104560865429726,0.000274939751880673
"Azerbaijan","Luxembourg","0","0.000000","0.000000","0.000000","1.243595","0.000000","1.368667",2.929652,0,0,0,0,"AZE","LUX",0.5859304,0.129131919,496.0945932,0.00118108604292686,0.000152515907227262
"Azerbaijan","Sweden","0","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000",3.186115,0,0,0,0,"AZE","SWE",0.637223,0.205265765,496.0945932,0.00128447882467267,0.000263659528572735
"Azerbaijan","Turkey","0","0.000000","1.000000","4.000000","2.000000","1.000000","10.000000",18,69,12,1266,338,"AZE","TUR",340.6,0.277430808,496.0945932,0.686562612591683,0.190473620353902
"Azerbaijan","United States","-1","-4.000000","-2.000000","-3.000000","..","-3.000000","-6.000000",14,NA,NA,NA,0,"AZE","USA",7,0.199021375,496.0945932,0.0141102122376447,0.00280823384107787
"Bahamas","Argentina","0","0.000000","0.000000","0.000000","-8.490000","42.522000","-36.330000",30.837,138.352,502.409,1.227,51.591,"BHS","ARG",144.8832,0.262239067,7371.7492434,0.0196538426927253,0.00515400537070504
"Bahamas","Belgium","0","..","..","..","..","..","0.000000",0,2.778384,47.679277,446.233084,46.255014,"BHS","BEL",108.5891518,0.205225833,7371.7492434,0.0147304456804769,0.00302306798523711
"Bahamas","Bolivia","0","0.000000","0.000000","0.000000","0.000000","1.423000","2.882000",0,0,0,0,0,"BHS","BOL",0,0.378167921,7371.7492434,0,0
"Bahamas","Brazil","212.384","60.940000","1.664000","94.085000","75.739000","41.605000","602.019000",1081.541,47.204,20.648,175.71,11.39,"BHS","BRA",267.2986,0.295596157,7371.7492434,0.0362598606076183,0.0107182754489677
"Bahamas","Bulgaria","-43.7338368336749","0.000000","3.932129","0.000000","0.497438","0.627242","4.106001",16.552532,3.47298,3.575946,3.907528,0.734555,"BHS","BGR",5.6487082,0.223077829,7371.7492434,0.000766264289992954,0.000170936574251855
"Bahamas","Chile","0","0.000000","0.000000","0.000000","0.000000","64.000000","72.000000",58,384.825,936.248,236.492,248.477,"BHS","CHL",372.8084,0.282457473,7371.7492434,0.0505725829366455,0.0142846039793678
"Bahamas","Colombia","17.488","4.269000","41.133000","4.704000","56.812000","8.471000","17.352000",23.509,7.889,26.715,32.722,42.257,"BHS","COL",26.6184,0.29815216,7371.7492434,0.00361086617587158,0.00107658754980705
"Bahamas","Costa Rica","0.9","-10.500000","-1.800000","-1.900000","2.300000","0.000000","0.000000",0,0,0,0,0,"BHS","CRI",0,0.342986709,7371.7492434,0,0
